Player Name,Team,Assist,Ball Recovery,Block,Block Cross,Clearance,Create Chance,Cross,Dribble Success,Foul,Fouled,Free Kick,Goal,Header Won,Intercept,Own Goal,Passing,Penalty Goal,Saves,Shoot Off Target,Shoot On Target,Tackle,Yellow Card
I KADEK AGUNG WIDNYANA PUTRA,BALI UNITED FC,,,,,,,,,,,,,,1,,,,,,1,,
I MADE ANDHIKA PRADANA WIJAYA,BALI UNITED FC,,5,1,1,8,,,,,2,,,,7,,121,,,2,,2,
I PUTU GEDE JUNI ANTARA,BHAYANGKARA PRESISI LAMPUNG FC,,3,1,1,12,,,1,3,,,,3,4,,78,,,,1,10,1
IAN LUCAS PULEIO ARAYA,AREMA FC,,2,,,,1,,1,3,2,,,4,3,,,,,1,,3,
IGOR CARREIRA RODRIGUES,PERSITA,,,,,1,,,,,,2,,,,,52,,6,,,,
IGOR INOCENCIO DE OLIVEIRA,MALUT UNITED FC,,5,1,2,5,1,3,1,6,2,10,,,3,,98,,,,,5,1
IKWAN ALI TANAMAL,PERSIS SOLO,,1,,,,1,1,1,3,5,,,1,4,,,,,3,,,
ILHAM RIO FAHMI,PERSIJA JAKARTA,,4,,,,2,2,3,5,6,1,,,6,,114,,,,,4,2
ILHAM SYAH,MADURA UNITED FC,,,2,,,,,,,,,,3,,,,,,,,,
ILHAM UDIN ARMAIYN,PSBS BIAK,,,,,,,,,,,,,,,,,,,,3,,
ILIJA SPASOJEVIC,BHAYANGKARA PRESISI LAMPUNG FC,,,,,3,,,,,,,1,6,,,,1,,,3,3,
IMANOL GARCIA LUGEA,PERSIK KEDIRI,,,2,,,1,,,3,2,1,1,5,5,,85,,,,2,11,
INDRA ARYA PERCEKA WIGUNA,PERSIJAP JEPARA,,5,,,,,,,,,,,,4,,,,,,,,1
IRAN DA CONCEICAO GONCALVES JUNIOR,MADURA UNITED FC,,8,1,,1,1,,2,3,10,2,1,1,2,,64,,,1,2,2,1
IRFAN JAUHARI,PERSIS SOLO,,1,,,1,,,,,,,,,,,,,,,,2,
IRFAN JAYA,BALI UNITED FC,2,,,,,3,1,1,,4,,2,,,,37,,,2,4,1,
IRSYAD MAULANA,SEMEN PADANG FC,,,,,,,,1,,2,,,,2,,,,,1,,,
JACQUES MEDINA TEMOPELE,PSM MAKASSAR,,2,,,,1,,,2,,,,,,,23,,,2,,3,
JAVLON GUSEYNOV,PERSITA,,1,,,8,,,,3,1,7,,9,4,,77,,,,1,,2
JEAN MARIE PRIVAT BEFOLO MBARGA,DEWA UNITED BANTEN FC,,,,,,,,3,,,,,,,,,,,,,,
JENS RAVEN,BALI UNITED FC,1,,,,,1,,,3,,,,2,,,,,,1,1,,1
JESUS MARIA MENESES SABATER,MALUT UNITED FC,,1,2,,4,,,,,1,2,,2,1,,35,,,1,,,
JOAO VITOR FERRARI SILVA,BALI UNITED FC,,,,1,8,,,,2,2,3,,11,17,,158,,,1,1,5,2
JOEL VINICIUS SILVA DOS ANJOS,BORNEO FC SAMARINDA,,,,,2,2,,,3,,,2,,,,,,,,3,,1
JOHAN AHMAT FARIZI,AREMA FC,,2,1,1,1,,1,,1,,1,,4,3,,54,,,,,,1
JORDI AMAT MAAS,PERSIJA JAKARTA,,6,,,6,,,,4,,3,,5,10,,115,,,,,1,1
JORDY HENDRIK NICOLAUS WEHRMANN,MADURA UNITED FC,1,5,,,3,2,2,,4,1,,,1,10,,99,,,1,,3,
JORDY SOLEMAN GRADUS TUTUARIMA,PERSIS SOLO,,2,3,1,6,3,2,1,4,1,4,1,,7,,96,,,,1,7,
JOSE CLEYLTON DE MORAIS DOS SANTOS,PERSIS SOLO,,3,,,12,1,,,5,3,5,,8,17,,137,,,1,1,4,2
JOSE ENRIQUE RODRIGUEZ,PERSIK KEDIRI,1,,,,,1,,,2,,,,2,,,,,,1,,,1
JOSE PEDRO MAGALHAES VALENTE,PSIM YOGYAKARTA,,4,,,,4,1,1,1,3,14,1,,,,152,1,,,6,3,1
JUAN FELIPE VILLA RUIZ,BORNEO FC SAMARINDA,1,6,1,,,2,,2,6,2,2,,,2,,92,,,3,1,5,
JULIO CESAR DE FREITAS FILHO,PERSIB BANDUNG,,3,2,,2,1,,,9,,4,,17,9,,86,,,2,1,2,1
KADEK AREL PRIYATNA,BALI UNITED FC,,,,,,,,,,,1,,1,,,,,,1,,,
KADEK RADITYA MAHESWARA,PERSEBAYA SURABAYA,,4,,,,,,,,,,,1,1,,,,,,,,
KAKANG RUDIANTO,PERSIB BANDUNG,,4,,1,1,,,1,2,,3,,5,9,,75,,,,,4,1
KAREL RIDZALD IEK,PSM MAKASSAR,,,,,2,,,2,3,2,,,1,,,,,,,,2,1
KEI HIROSE,BORNEO FC SAMARINDA,1,4,,,2,2,,1,8,5,3,,,3,,120,,,,,11,
KERIM PALIC,MADURA UNITED FC,,4,,1,3,,,,5,1,3,1,,6,,107,,,,1,3,
KEVIN ALEXANDER LOPEZ SALDARRIAGA,PSBS BIAK,,3,1,1,7,,,,3,1,3,,2,11,,93,,,2,,4,1
KHURSHIDBEK MUKHTOROV,PERSIK KEDIRI,,3,2,,11,,,,4,,1,,5,8,,130,,,1,,6,1
KODAI TANAKA,PERSIS SOLO,1,,,,1,3,,,,6,,1,4,,,40,,,1,3,2,
KOMANG TEGUH TRISNANDA,BORNEO FC SAMARINDA,,,2,,10,1,,,,,5,,,13,,153,,,,,,1
LEO GUNTARA,SEMEN PADANG FC,,2,,,4,2,3,1,5,,2,,2,4,,83,,,,,,
LEONARDO NAVACCHIO,PERSIK KEDIRI,,1,,,1,,,,,,,,,,,52,,9,,1,,
LUCAS DIAS DO NASCIMENTO SERAFIM,PSM MAKASSAR,,1,,,2,,1,1,,2,,1,,3,,17,1,,1,1,,
LUCAS GAMA MOREIRA,PERSIK KEDIRI,,,,,,,,,,,1,,1,,,30,,,,,,
LUCIANO GUAYCOCHEA,PERSIB BANDUNG,,,,,,3,1,1,5,,10,,4,6,,73,,,5,1,4,
LUCKY OCTAVIANTO,PSBS BIAK,,1,1,1,1,,,,2,2,,,2,4,,50,,,,,5,
LUIZ GUSTAVO TAVARES CONDE,AREMA FC,,1,2,,10,,,1,,2,7,,4,9,,136,,,1,,2,
LUIZ MARCELO MORAIS DOS REIS,MADURA UNITED FC,,3,,,,4,5,2,4,8,10,,,,,97,,,1,1,10,2
Leonardo Silva Lelis,PERSEBAYA SURABAYA,,,,,2,,,,,,,,,,,,,,,,,
M SIHRAN H AMARULLAH,BORNEO FC SAMARINDA,,1,,,,1,1,2,1,,,,,,,,,,,,1,1
M TAUFANY MUSLIHUDDIN,MADURA UNITED FC,,5,,,1,,,,,1,,1,,,,,,,1,1,,
M. REZA ARYA PRATAMA,PSM MAKASSAR,,,,,,,,,,,,,,,,,,3,,,,
M. REZALDI HEHANUSSA,PERSIB BANDUNG,,1,,,2,,,,,,,,,,,,,,1,,,
M.ANWAR RIFAI,AREMA FC,,,,,1,,,,,,,,1,,,,,,,,,
MAICON DE SOUZA DA SILVA,BORNEO FC SAMARINDA,,,,,4,1,,2,1,2,,,,6,,,,,2,1,,
MALIK RISALDI,PERSEBAYA SURABAYA,1,2,,,,2,2,1,3,3,,,,3,,45,,,2,1,6,
MANAHATI LESTUSEN,MALUT UNITED FC,,4,,,,,,,,3,,,,2,,,,,,,,
MARC ANTHONY KLOK,PERSIB BANDUNG,,5,,,3,,,,5,,2,,1,4,,60,,,,1,,1
MARIANO EZEQUIEL PERALTA BAUER,BORNEO FC SAMARINDA,1,3,,1,,2,1,5,2,4,4,3,,,,80,1,,3,5,3,2
MARIO JARDEL,PERSITA,,1,1,,13,,,,,7,1,,6,7,,114,,,1,,4,
MATHEUS ALVES LEANDRO,PERSITA,,,,,,,,,,,,,6,,,,,,1,,,
MATHEUS DA CONCEIÇÃO NASCIMENTO,AREMA FC,,1,3,1,5,,,1,2,,,,3,4,,,,,1,,6,
MIHAILO PEROVIC,PERSEBAYA SURABAYA,,,,,,,,,3,2,,1,7,,,,,,1,3,1,
MIKAEL ALFREDO TATA,PERSEBAYA SURABAYA,,,,,,,,,1,1,,,,,,,,,,,,
MIKE HAUPTMEIJER,BALI UNITED FC,,,,,1,,,,,,6,,,,,69,,9,,,,
MILOS RAICKOVIC,PERSEBAYA SURABAYA,,3,,,5,,1,,2,6,7,,2,1,,90,,,2,1,3,
MIRZA MUSTAFIC,BALI UNITED FC,,1,,1,,,,1,5,5,1,,1,3,,40,,,2,1,,1
MISWAR SAPUTRA NURDIN,MADURA UNITED FC,,,,,,,,,,,5,,,,,57,,7,,,,
MOCH. SUPRIADI,PERSIK KEDIRI,,,,,1,,1,,2,2,1,,,,,,,,,,,
MOH. EDO FEBRIANSAH,DEWA UNITED BANTEN FC,,3,1,1,6,2,2,,4,1,,,4,4,,125,,,1,,12,1
MOH. SIDIK SAIMIMA,PERSIS SOLO,,1,,,,,,1,5,2,,,,,,55,,,,1,2,1
MOHAMAD BAKER EL HOUSSEINI,BORNEO FC SAMARINDA,,,1,,,,,,,,1,,,,,,,,,,,
MOHCINE HASSAN NADER,PSBS BIAK,,1,,,2,1,1,1,4,2,,,3,,,41,,,2,1,,
MOISÉS WOLSCHICK,BHAYANGKARA PRESISI LAMPUNG FC,,,,,1,1,,,7,,1,,,5,,37,,,1,,2,2
MUH. DWIKY HARDIANSYAH,BORNEO FC SAMARINDA,,1,2,,2,,,,1,2,,,,5,,50,,,,,4,
MUH. DZAKI ASRAF HUWAIDI,PSM MAKASSAR,,,,,,,,,,,,,,,,,,,,1,,1
MUH. MUFLI HIDAYAT,PSM MAKASSAR,,,1,,,,,,,,,,,,,,,,,1,,
MUH. RIZKY EKA PRATAMA,PSM MAKASSAR,,,,1,,,,,,,,,,,,,,,,,,
MUHAMAD RIYANDI,PERSIS SOLO,,,,,,,,,,,5,,,,,76,,10,,,,
MUHAMMAD ADI SATRYO,AREMA FC,,,,,,,,,,1,3,,,,,54,,12,,,,1
MUHAMMAD ADZIKRY FADLILLAH,PERSIJAP JEPARA,,2,1,,1,,,,2,,,,,,,,,,,,2,
MUHAMMAD ALFHAREZZI BUFFON,BORNEO FC SAMARINDA,,,,,,2,1,,,2,2,,,2,,44,,,,,,
MUHAMMAD DAFFA SALMAN ZAHRAN SIDIK,PSM MAKASSAR,,,,1,8,,,,2,,3,,4,5,,,,,,,,1
MUHAMMAD FAJAR FATHURRAHMAN,BORNEO FC SAMARINDA,,3,1,2,3,,2,,,,2,,,4,,81,,,1,,4,
MUHAMMAD FERARRI,BHAYANGKARA PRESISI LAMPUNG FC,,3,,1,4,,1,1,,2,,,,6,,54,,,1,1,5,1
MUHAMMAD RAYHAN HANNAN,PERSIJA JAKARTA,,,,,1,2,,,2,,,,,,,,,,1,,,
MUHAMMAD TAHIR,PSBS BIAK,,,,,,,,,,,,,,2,,,,,,,,
MUHAMMAD TOHA,PERSITA,,3,,,4,1,1,,,2,,,1,3,,74,,,,,6,
MUHAMMAD ZULFAHMI BIN MOHD ARIFIN,PERSIS SOLO,,1,,,1,1,,,3,,1,,,,,,,,,,,1
NADEO ARGA WINATA,BORNEO FC SAMARINDA,,,,,,,,1,,,2,,,,,60,,12,,,,
NAJEEB YAKUBU,PERSIJAP JEPARA,,3,1,,8,1,,,4,6,3,,4,6,,71,,,,,7,1
NEHAR SADIKI,BHAYANGKARA PRESISI LAMPUNG FC,,6,1,1,10,1,,,2,1,5,,7,10,,78,,,,,2,
NELSON ALOM,PSBS BIAK,,,,,,,,,2,,,,,,,,,,,,2,1
NERMIN HALJETA,PSIM YOGYAKARTA,,2,,,,2,,,2,4,,,7,,,,,,1,3,,1
NICK ANNA MARIA FRANCOIS KUIPERS,DEWA UNITED BANTEN FC,,1,4,,10,,,1,2,3,3,,11,10,,166,,,1,,3,1
NORBERTO EZEQUIEL VIDAL,PSIM YOGYAKARTA,,2,,,1,1,1,,5,2,1,1,3,4,,58,,,4,4,1,
NOVAN SETYA SASONGKO,MADURA UNITED FC,,,,,2,,,,2,,2,,1,5,,50,,,,,,1
NOVRI SETIAWAN,PERSIK KEDIRI,,2,,,4,2,1,1,7,7,1,,2,5,,96,,,1,,3,
NUR DIANSYAH,MADURA UNITED FC,,2,,,1,,,,,,1,,,,,,,,,,,
NURHIDAYAT HH,PSBS BIAK,,2,1,1,6,,,,4,2,1,,3,3,,66,,,,,3,1
PABLO ANDRADE PLAZA DA SILVA,PSBS BIAK,,,3,1,2,,,,,,,,1,4,,39,,,,,,
PABLO GANET COMITRE,PERSITA,,2,2,,,3,,1,3,6,8,,3,7,,94,,,,,3,1
PATRICIO MARTIN MATRICARDI,PERSIB BANDUNG,,3,2,,6,,,,4,2,7,1,14,9,,90,,,,1,2,
PAULO DOMINGOS GALI DA COSTA FREITAS,PERSEBAYA SURABAYA,,,1,,,,,,,,,1,,,,,,,,1,,
PAULO ROBERTO MOCCELIN,AREMA FC,2,1,,,,4,1,8,3,4,7,,1,3,,75,,,1,2,5,
PEDRO FILIPE TINOCO MONTEIRO,MADURA UNITED FC,,2,4,,8,,,,,1,4,1,4,12,,135,1,,1,2,8,1
PEDRO MIGUEL SERRA MATOS,PERSIK KEDIRI,,,,,1,,,1,,2,,,1,,,,,,,,1,
